교과목명,분반,교수,개설학과전공,이수구분,영역,캠퍼스,학점/이론/실습,시간표,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,예측_강의력,예측_풀강
인체와 의복구성,3,김민경,의류산업학과,핵심전공,1영역,운정,3.0/1.0/2.0,금/4-6,일반,,4.44,직접호명,없음,보통,없음,보통,좋음,풀강
인체와 의복구성,4,문윤경,의류산업학과,핵심전공,1영역,운정,3.0/1.0/2.0,화/4-6,일반,,4.32,직접호명,없음,보통,없음,보통,좋음,풀강 아님
의류학,1,홍문정,의류산업학과,핵심전공,1영역,운정,3.0/3.0/0.0,수/4-6,일반,[1학년전공탐색][GeM(공학과기술)],3.91,전자출결,없음,보통,보통,보통,보통,풀강
패션소재의 이해,1,김서영,의류산업학과,핵심전공,2영역,운정,3.0/3.0/0.0,목/1-3,일반,,2.79,전자출결,두 번,보통,없음,보통,나쁨,풀강
한국복식디자인 1,1,이정은,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,목/4-6,일반,,4.95,직접호명,없음,보통,없음,보통,좋음,풀강 아님
드레이핑,1,김미영,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,목/7-9,일반,,4.67,직접호명,없음,보통,없음,너그러움,좋음,풀강 아님
드레이핑,2,정윤경,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,목/7-9,일반,,5,모름,모름,모름,모름,모름,좋음,풀강 아님
드레이핑,3,박수연,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,화/4-6,일반,,4.8,직접호명,없음,보통,없음,보통,좋음,풀강 아님
어패럴 메이킹,1,조윤진,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,화/7-9,일반,,5,모름,모름,모름,모름,모름,좋음,풀강 아님
어패럴 메이킹,2,안연숙,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,수/4-6,일반,,4.46,직접호명,없음,보통,없음,보통,좋음,풀강 아님
어패럴 메이킹,3,고소향,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,월/7-9,일반,,5,모름,모름,모름,모름,모름,좋음,풀강 아님
비주얼 머천다이징,1,박은주,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,월/4-6,일반,,2.75,직접호명,한 번,많음,많음,보통,나쁨,모름
패션 디지털그래픽,1,김수영,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,화/7-9,일반,,4.5,전자출결,없음,보통,없음,너그러움,좋음,풀강
패션니트,1,신지혜,의류산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,수/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
한국복식프로젝트,1,신자영,의류산업학과,심화전공,3영역,운정,3.0/0.0/3.0,목/7-9,일반,,5,모름,없음,없음,없음,보통,좋음,풀강 아님
패션드레이핑,1,김미영,의류산업학과,심화전공,3영역,운정,3.0/0.0/3.0,목/4-6,일반,,4.67,직접호명,없음,보통,없음,너그러움,좋음,풀강 아님
패션드레이핑,2,김혜진,의류산업학과,심화전공,3영역,운정,3.0/0.0/3.0,금/4-6,일반,,5,모름,모름,모름,모름,모름,좋음,풀강 아님
패션디자인CAD 2,1,김덕하,의류산업학과,심화전공,3영역,운정,3.0/0.0/3.0,화/1-3,일반,,4.66,직접호명,두 번,보통,없음,보통,좋음,풀강 아님
패션디자인CAD 2,2,박지수,의류산업학과,심화전공,3영역,운정,3.0/0.0/3.0,화/7-9,일반,,4.8,직접호명,두 번,없음,없음,너그러움,좋음,풀강 아님
패션디자인CAD 2,3,류한나,의류산업학과,심화전공,3영역,운정,3.0/0.0/3.0,수/4-6,일반,,4.2,지정좌석,한 번,없음,없음,보통,좋음,풀강
패션디자인 창업 스튜디오,1,염미선,의류산업학과,심화전공,3영역,운정,3.0/1.0/2.0,수/7-9,일반,"팀티칭 강좌
B동 645호, 지하 전산실습실 B-109호 사용",3.42,직접호명,없음,많음,없음,보통,보통,풀강 아님
졸업프로젝트,1,김해정,의류산업학과,심화전공,4영역,운정,3.0/0.0/3.0,화/4-6,일반,,5,모름,모름,모름,모름,모름,좋음,풀강 아님
졸업프로젝트,2,염미선,의류산업학과,심화전공,4영역,운정,3.0/0.0/3.0,월/7-9,일반,"B동 645호, B동 534호 사용",2.5,모름,모름,모름,모름,모름,좋음,풀강 아님
졸업프로젝트,3,김혜진,의류산업학과,심화전공,4영역,운정,3.0/0.0/3.0,목/4-6,일반,,모름,모름,모름,모름,모름,모름,모름,모름
졸업프로젝트,4,김서영,의류산업학과,심화전공,4영역,운정,3.0/0.0/3.0,수/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
패션포트폴리오,1,염미선,의류산업학과,심화전공,4영역,운정,3.0/0.0/3.0,월/4-6,일반,,모름,모름,모름,모름,모름,모름,모름,모름
패션포트폴리오,2,이은정,의류산업학과,심화전공,4영역,운정,3.0/0.0/3.0,수/7-9,일반,B동 645호 사용,모름,모름,모름,모름,모름,모름,모름,모름
패션테크놀로지,1,손유경,의류산업학과,심화전공,4영역,운정,3.0/0.0/3.0,수/4-6,일반,지하 전산실습실 B-109호 사용,모름,모름,모름,모름,모름,모름,모름,모름
소비자학,1,임은경,소비자산업학과,핵심전공,1영역,운정,3.0/3.0/0.0,월/7-9,일반,,2.67,전자출결,두 번,보통,없음,보통,나쁨,풀강
소비자학,2,임은경,소비자산업학과,핵심전공,1영역,운정,3.0/3.0/0.0,화/4-6,일반,[1학년전공탐색] [GeM(사회의이해)],2.67,전자출결,두 번,보통,없음,보통,나쁨,풀강
가계경제와 시장,1,차경욱,소비자산업학과,핵심전공,1영역,운정,3.0/3.0/0.0,월/4-6,일반,[1학년전공탐색] [GeM(사회의이해)],4.27,직접호명,두 번,보통,없음,보통,좋음,풀강
가정생활문화,1,최배영,소비자산업학과,핵심전공,1영역,운정,3.0/2.0/1.0,화/7-9,일반,"소비자산업학과 주/부/복수 전공생 수강가능 
PBL
B동 231호, B동 232호+ALC 강의실 사용",4.6,전자출결,한 번,보통,많음,보통,좋음,풀강 아님
가정생활문화,2,백주원,소비자산업학과,핵심전공,1영역,운정,3.0/2.0/1.0,수/4-6,일반,"B동 231호, B동 232호 강의실 사용",4.64,전자출결,한 번,보통,많음,보통,보통,풀강
소비자상담과 피해구제,1,류지혜,소비자산업학과,핵심전공,1영역,운정,3.0/0.0/3.0,목/4-6,일반,,2.95,전자출결,두 번,보통,보통,보통,좋음,풀강
소비자재무설계,1,원대식,소비자산업학과,핵심전공,2영역,운정,3.0/3.0/0.0,금/1-3,일반,,3.6,전자출결,두 번,없음,없음,보통,보통,풀강
소비자안전세미나,1,전진수,소비자산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,금/4-6,일반,,4,직접호명,모름,보통,없음,보통,좋음,풀강
브랜딩과 상품기획,1,양수진,소비자산업학과,핵심전공,2영역,운정,3.0/2.0/1.0,화/1-3,일반,,4.16,전자출결,두 번,많음,보통,보통,나쁨,풀강
서비스산업과 프로세스관리,1,정예린,소비자산업학과,핵심전공,2영역,운정,3.0/3.0/0.0,화/4-6,일반,,4.32,전자출결,두 번,보통,없음,보통,보통,풀강
소비자조사분석과 실습,1,윤주옥,소비자산업학과,핵심전공,2영역,운정,3.0/0.0/3.0,목/1-3,일반,,3,모름,모름,모름,모름,모름,좋음,풀강 아님
융복합신기술과 소비자,1,양수진,소비자산업학과,심화전공,3영역,운정,3.0/2.0/1.0,화/7-9,일반,,3,모름,모름,모름,모름,모름,보통,풀강
소비자유통과 창업,1,양수진,소비자산업학과,심화전공,3영역,운정,3.0/1.0/2.0,수/1-3,일반,,4.35,전자출결,한 번,보통,많음,보통,좋음,풀강
디지털금융과 소비자,1,차경욱,소비자산업학과,심화전공,3영역,운정,3.0/3.0/0.0,수/4-6,일반,,4,전자출결,두 번,보통,보통,보통,보통,풀강
라이프스타일과 생활문화산업,1,박현명,소비자산업학과,심화전공,3영역,운정,3.0/3.0/0.0,목/4-6,일반,,4.16,직접호명,두 번,보통,보통,보통,좋음,풀강 아님
기업프로모션연출실무,1,최배영,소비자산업학과,심화전공,3영역,운정,3.0/0.0/3.0,목/7-9,일반,"소비자산업학과 주/부/복수 전공생 수강가능 
PBL
B동 231호, B동 232호+ALC 강의실 사용",4.43,전자출결,한 번,많음,많음,보통,좋음,풀강 아님
주거학,1,노영래,소비자산업학과,심화전공,3영역,운정,3.0/2.0/1.0,화/1-3,일반,,4.43,전자출결,두 번,보통,보통,보통,좋음,풀강
통계분석 및 실습,1,허경옥,소비자산업학과,심화전공,4영역,운정,3.0/0.0/3.0,월/4-6,원격(녹화콘텐츠),"원격(녹화) 강의
B동 229호 강의실 사용",3.36,전자출결,두 번,보통,없음,너그러움,좋음,풀강
생활문화산업비즈니스,1,최배영,소비자산업학과,심화전공,4영역,운정,3.0/0.0/3.0,수/7-9,일반,"소비자산업학과 주/부/복수 전공생 수강가능 
PBL
B동 232호+ALC 강의실 사용",4.29,전자출결,한 번,보통,많음,보통,좋음,풀강 아님
기초메이크업,1,김정하,뷰티산업학과,핵심전공,1영역,운정,2.0/1.0/2.0,목/1-3,일반,실기수업에 필요한 메이크업 박스 개별 지참 필요,4.25,직접호명,두 번,보통,없음,너그러움,좋음,풀강
기초메이크업,2,김지연,뷰티산업학과,핵심전공,1영역,운정,2.0/1.0/2.0,수/7-9,일반,"[1학년전공탐색] [GeM(도전과실천)]
실기수업에 필요한 메이크업 박스 개별 지참 필요",4.5,모름,모름,모름,모름,모름,좋음,풀강 아님
기초메이크업,3,임은정,뷰티산업학과,핵심전공,1영역,운정,2.0/1.0/2.0,화/1-3,일반,"[1학년전공탐색] [GeM(도전과실천)]
실기수업에 필요한 메이크업 박스 개별 지참 필요",5,직접호명,없음,없음,없음,보통,좋음,풀강
피부과학,1,김슬기,뷰티산업학과,핵심전공,1영역,운정,3.0/3.0/0.0,수/4-6,일반,,2.38,직접호명,두 번,보통,보통,보통,좋음,풀강 아님
기초헤어스타일링,1,신정원,뷰티산업학과,핵심전공,1영역,운정,2.0/0.0/3.0,화/4-6,일반,,4.67,직접호명,두 번,보통,없음,보통,좋음,풀강 아님
기초헤어스타일링,2,이경,뷰티산업학과,핵심전공,1영역,운정,2.0/0.0/3.0,수/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
전공 실무중국어,1,이경,뷰티산업학과,핵심전공,2영역,운정,2.0/2.0/0.0,목/5-6,일반(블렌디드형),성신하이브리드러닝 수업,4,직접호명,두 번,보통,없음,너그러움,좋음,풀강
체형관리에스테틱,1,김규리,뷰티산업학과,핵심전공,2영역,운정,2.0/0.0/3.0,수/7-9,일반,,4.67,전자출결,모름,보통,없음,보통,좋음,풀강 아님
모발과학,1,박초희,뷰티산업학과,핵심전공,2영역,운정,3.0/3.0/0.0,월/7-9,원격(녹화콘텐츠),원격(녹화) 수업,3.91,전자출결,두 번,많음,없음,보통,좋음,풀강
응용메이크업,1,임은정,뷰티산업학과,핵심전공,2영역,운정,2.0/0.0/3.0,화/7-9,일반,,3.6,직접호명,두 번,많음,없음,보통,좋음,풀강 아님
응용메이크업,2,신정원,뷰티산업학과,핵심전공,2영역,운정,2.0/0.0/3.0,목/1-3,일반,,모름,모름,모름,모름,모름,모름,모름,모름
응용메이크업,3,이경,뷰티산업학과,핵심전공,2영역,운정,2.0/0.0/3.0,목/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
미용문화사,1,황선희,뷰티산업학과,핵심전공,2영역,운정,3.0/3.0/0.0,월/4-6,일반,대면수업으로 변경됨,2,전자출결,두 번,많음,없음,보통,보통,풀강
공중보건과 위생,1,류상희,뷰티산업학과,핵심전공,2영역,운정,3.0/1.5/1.5,화/4-6,일반,,1.62,직접호명,두 번,없음,없음,보통,나쁨,풀강
화장품 제조 및 실습,1,김주덕,뷰티산업학과,심화전공,3영역,운정,2.0/1.0/2.0,수/4-6,일반,,2.59,직접호명,두 번,보통,보통,보통,좋음,풀강
화장품 제조 및 실습,2,김주덕,뷰티산업학과,심화전공,3영역,운정,2.0/1.0/2.0,수/7-9,일반,,2.59,직접호명,두 번,보통,보통,보통,좋음,풀강
컬러 코디네이트 미학,1,김지연,뷰티산업학과,심화전공,3영역,운정,2.0/0.0/2.0,수/5-6,일반,,1,모름,모름,모름,모름,모름,나쁨,풀강
화장품 성분학,1,박초희,뷰티산업학과,심화전공,3영역,운정,3.0/3.0/0.0,화/4-6,일반,,4.18,직접호명,두 번,보통,없음,보통,좋음,풀강
미디어 메이크업,1,김희라,뷰티산업학과,심화전공,3영역,운정,3.0/3.0/0.0,월/4-6,일반,,3,모름,모름,모름,모름,모름,좋음,풀강 아님
헤어디자인,1,조여진,뷰티산업학과,심화전공,3영역,운정,2.0/0.0/3.0,목/1-3,일반,,2,모름,모름,모름,모름,모름,나쁨,풀강
무대분장,1,황선희,뷰티산업학과,심화전공,3영역,운정,2.0/0.0/3.0,목/4-6,일반(블렌디드형),성신하이브리드러닝 수업,5,직접호명,두 번,보통,없음,보통,좋음,풀강 아님
무대분장,2,이경,뷰티산업학과,심화전공,3영역,운정,2.0/0.0/3.0,화/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
메디컬 에스테틱,1,김지영,뷰티산업학과,심화전공,3영역,운정,2.0/0.0/3.0,화/7-9,일반,,4.5,전자출결,두 번,없음,없음,보통,좋음,풀강 아님
화장 심리학,1,김지은,뷰티산업학과,심화전공,4영역,운정,3.0/1.5/1.5,화/1-3,일반,,2.33,직접호명,두 번,보통,없음,보통,나쁨,풀강 아님
졸업작품 및 논문,1,서현우,뷰티산업학과,심화전공,4영역,운정,3.0/0.0/3.0,화/7-9,일반,다음 학기 졸업 작품 진행을 위해 교수님과 소통 완료 및 준비 중인 학생 대상,5,직접호명,모름,보통,보통,너그러움,좋음,풀강 아님
졸업작품 및 논문,2,김슬기,뷰티산업학과,심화전공,4영역,운정,3.0/0.0/3.0,화/7-9,일반,다음 학기 졸업 작품 진행을 위해 교수님과 소통 완료 및 준비 중인 학생 대상,모름,모름,모름,모름,모름,모름,모름,모름
졸업작품 및 논문,3,신정원,뷰티산업학과,심화전공,4영역,운정,3.0/0.0/3.0,화/7-9,일반,다음 학기 졸업 작품 진행을 위해 교수님과 소통 완료 및 준비 중인 학생 대상,5,모름,모름,모름,모름,모름,좋음,풀강 아님
졸업작품 및 논문,4,이유나,뷰티산업학과,심화전공,4영역,운정,3.0/0.0/3.0,화/4-6,일반,다음 학기 졸업 작품 진행을 위해 교수님과 소통 완료 및 준비 중인 학생 대상,모름,모름,모름,모름,모름,모름,모름,모름
졸업작품 및 논문,5,황선희,뷰티산업학과,심화전공,4영역,운정,3.0/0.0/3.0,화/4-6,일반,다음 학기 졸업 작품 진행을 위해 교수님과 소통 완료 및 준비 중인 학생 대상,모름,모름,모름,모름,모름,모름,모름,모름
졸업작품 및 논문,6,송연재,뷰티산업학과,심화전공,4영역,운정,3.0/0.0/3.0,목/4-6,일반,다음 학기 졸업 작품 진행을 위해 교수님과 소통 완료 및 준비 중인 학생 대상,모름,모름,모름,모름,모름,모름,모름,모름
졸업작품 및 논문,7,이경,뷰티산업학과,심화전공,4영역,운정,3.0/0.0/3.0,화/4-6,일반,다음 학기 졸업 작품 진행을 위해 교수님과 소통 완료 및 준비 중인 학생 대상,모름,모름,모름,모름,모름,모름,모름,모름
맞춤형화장품 조제관리학 심화,1,박초희,뷰티산업학과,심화전공,4영역,운정,3.0/2.0/1.0,월/4-6,일반(블렌디드형),성신하이브리드러닝 수업,5,모름,모름,모름,모름,모름,좋음,풀강 아님
볼링 1,1,정영남,스포츠과학부,핵심전공,1영역,수정,2.0/0.0/3.0,수/4-6,일반,외부 수업,3.88,직접호명,두 번,보통,없음,보통,나쁨,풀강
볼링 1,2,정영남,스포츠과학부,핵심전공,1영역,수정,2.0/0.0/3.0,수/7-9,일반,외부 수업,3.88,직접호명,두 번,보통,없음,보통,나쁨,풀강
탁구,1,이시은,스포츠과학부,핵심전공,1영역,수정,2.0/0.0/3.0,목/7-9,일반,,4.81,직접호명,두 번,보통,없음,너그러움,좋음,풀강 아님
수영,1,김아람,스포츠과학부,핵심전공,1영역,수정,2.0/0.0/3.0,월/4-6,일반,외부 수업,4.83,직접호명,두 번,없음,없음,너그러움,좋음,풀강 아님
운동재활개론,1,김영주,스포츠과학부,핵심전공,1영역,수정,3.0/3.0/0.0,화/1-3,일반,[1학년전공탐색] [GeM(공학과기술)],4.71,직접호명,두 번,보통,없음,너그러움,좋음,풀강 아님
요가지도법,1,육영숙,스포츠과학부,핵심전공,1영역,수정,2.0/0.0/3.0,화/7-9,일반,,4,직접호명,두 번,보통,없음,보통,좋음,풀강
요가지도법,2,육영숙,스포츠과학부,핵심전공,1영역,수정,2.0/0.0/3.0,수/7-9,일반,,4,직접호명,두 번,보통,없음,보통,좋음,풀강
운동과 건강,1,최승욱,스포츠레저,핵심전공,1영역,수정,2.0/2.0/0.0,화/4-5,일반,[1학년전공탐색] [GeM(공학과기술)],1.8,직접호명,두 번,없음,없음,보통,나쁨,풀강 아님
무도,1,김상훈,스포츠레저,핵심전공,1영역,수정,2.0/0.0/3.0,목/4-6,일반,,모름,모름,모름,모름,모름,모름,모름,모름
해양스포츠 1,1,정영남,스포츠레저,핵심전공,2영역,수정,2.0/0.0/3.0,목/7-9,일반,외부 수업,3.6,직접호명,두 번,보통,없음,보통,좋음,풀강 아님
해양스포츠 1,2,이나경,스포츠레저,핵심전공,2영역,수정,2.0/0.0/3.0,금/4-6,일반,외부 수업,모름,모름,모름,모름,모름,모름,모름,모름
운동생리학,1,양윤권,스포츠레저,핵심전공,2영역,수정,3.0/3.0/0.0,화/7-9,일반,,4.52,직접호명,두 번,보통,없음,보통,좋음,풀강
트레킹,1,양윤권,스포츠레저,핵심전공,2영역,수정,2.0/0.0/3.0,화/4-6,일반,외부 수업,모름,모름,모름,모름,모름,모름,모름,모름
트레이닝방법론,1,이윤미,스포츠레저,심화전공,3영역,수정,2.0/0.0/3.0,금/1-3,일반,,4,전자출결,두 번,보통,없음,보통,좋음,풀강
스포츠통계,1,송혜리,스포츠레저,심화전공,3영역,수정,2.0/0.0/3.0,목/4-6,일반,,4.8,직접호명,두 번,보통,없음,너그러움,좋음,풀강
스포츠경영학,1,정영남,스포츠레저,심화전공,3영역,수정,3.0/3.0/0.0,목/4-6,일반,,2.38,전자출결,두 번,많음,없음,보통,좋음,풀강 아님
구기,1,송송이,스포츠레저,심화전공,3영역,수정,2.0/0.0/3.0,목/1-3,일반,,1.33,직접호명,두 번,보통,없음,깐깐함,나쁨,풀강 아님
운동처방,1,최승욱,스포츠레저,심화전공,3영역,수정,3.0/3.0/0.0,수/7-9,일반,,1,모름,모름,모름,모름,모름,좋음,풀강 아님
운동역학,1,한수지,스포츠레저,심화전공,4영역,수정,2.0/2.0/0.0,월/7-8,일반,,모름,모름,모름,모름,모름,모름,모름,모름
스트레칭,1,김혜련,스포츠레저,심화전공,4영역,수정,2.0/0.0/3.0,목/7-9,일반,,5,모름,모름,모름,모름,모름,좋음,풀강 아님
대체요법,1,장원석,스포츠레저,심화전공,4영역,수정,2.0/0.0/3.0,수/4-6,일반,,모름,모름,모름,모름,모름,모름,모름,모름
라틴댄스,1,안혜진,스포츠레저,심화전공,4영역,수정,2.0/0.0/3.0,목/4-6,일반,,1,모름,모름,모름,모름,모름,모름,모름
근관절 기능해부학,1,김영주,운동재활,핵심전공,2영역,수정,3.0/3.0/0.0,화/7-9,일반,,4.3,직접호명,두 번,보통,없음,너그러움,좋음,풀강
스포츠재활심리학,1,육영숙,운동재활,핵심전공,2영역,수정,3.0/3.0/0.0,화/1-3,일반,,3.23,직접호명,두 번,보통,없음,보통,좋음,풀강
운동과 발육발달,1,박지혜,운동재활,핵심전공,2영역,수정,3.0/3.0/0.0,월/4-6,일반,,4.59,복합적,두 번,보통,없음,너그러움,좋음,풀강
상해예방과 재활테이핑,1,성은숙,운동재활,핵심전공,2영역,수정,2.0/0.0/3.0,목/1-3,일반,,4,모름,모름,모름,모름,모름,좋음,풀강
근막경선기반 비니재활요가,1,김아윤,운동재활,핵심전공,2영역,수정,2.0/1.0/2.0,수/4-6,일반,,3.6,직접호명,두 번,많음,많음,보통,좋음,풀강 아님
운동재활마사지,1,성은숙,운동재활,심화전공,3영역,수정,2.0/0.0/3.0,화/4-6,일반,,2.5,모름,모름,모름,모름,모름,좋음,풀강 아님
스포츠카운셀링,1,최희순,운동재활,심화전공,3영역,수정,3.0/3.0/0.0,화/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
운동손상학,1,성은숙,운동재활,심화전공,3영역,수정,3.0/3.0/0.0,목/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
유산소운동과 재활,1,고아라,운동재활,심화전공,3영역,수정,2.0/1.0/2.0,수/7-9,일반,,5,모름,모름,모름,모름,모름,모름,모름
수중재활,1,방세환,운동재활,심화전공,3영역,수정,2.0/1.0/2.0,월/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
장애운동재활체육론,1,김재학,운동재활,심화전공,3영역,수정,2.0/2.0/0.0,목/1-2,일반,,모름,모름,모름,모름,모름,모름,모름,모름
병태생리학,1,김영주,운동재활,심화전공,4영역,수정,3.0/3.0/0.0,수/4-6,일반,,5,모름,모름,모름,모름,모름,좋음,풀강 아님
장애인스포츠지도사(보치아),1,이정준,운동재활,심화전공,4영역,수정,2.0/1.0/2.0,수/7-9,일반,,모름,모름,모름,모름,모름,모름,모름,모름
매트필라테스,1,정희담,운동재활,심화전공,4영역,수정,2.0/0.0/3.0,화/1-3,일반,,모름,모름,모름,모름,모름,모름,모름,모름
AI와 교육혁신,1,이정훈,사범대학,핵심전공,1영역,수정,3.0/2.0/1.0,수/7-9,일반,사범대 학생 대상 강의,5,직접호명,한 번,없음,많음,너그러움,좋음,풀강
AIDT 활용 교수설계ㆍ개발,1,이효진,사범대학,핵심전공,1영역,수정,3.0/2.0/1.0,목/7-9,일반,사범대 학생 대상 강의,3.73,직접호명,한 번,많음,많음,너그러움,보통,풀강 아님
세계∙민주시민교육 2,1,강지영,사범대학,핵심전공,2영역,수정,3.0/2.0/1.0,수/7-9,일반(블렌디드형),사범대 학생 대상 강의,5,직접호명,없음,보통,보통,너그러움,좋음,풀강 아님
교육심리,1,정은교,교육학과,교직,영역없음,수정,2.0/2.0/0.0,수/2-3,일반,,4,전자출결,한 번,보통,보통,보통,좋음,풀강 아님
교육방법 및 교육공학,1,노석준,교육학과,교직,영역없음,수정,2.0/1.0/1.0,화/2-3,일반(블렌디드형),,2.32,전자출결,두 번,많음,보통,보통,보통,모름
교육방법 및 교육공학,2,노석준,교육학과,교직,영역없음,수정,2.0/1.0/1.0,화/5-6,일반(블렌디드형),,2.32,전자출결,두 번,많음,보통,보통,보통,모름
교육방법 및 교육공학,3,노석준,교육학과,교직,영역없음,운정,2.0/1.0/1.0,화/8-9,일반(블렌디드형),운정캠퍼스 개설 과목,2.32,전자출결,두 번,많음,보통,보통,보통,모름
교육행정 및 교육경영,1,곽연륜,교육학과,교직,영역없음,수정,2.0/2.0/0.0,수/5-6,일반,,3.72,직접호명,한 번,많음,보통,보통,보통,풀강 아님
교육행정 및 교육경영,2,김지현,교육학과,교직,영역없음,수정,2.0/2.0/0.0,화/2-3,일반,,3.8,직접호명,두 번,보통,많음,보통,좋음,풀강
교육행정 및 교육경영,3,김지현,교육학과,교직,영역없음,수정,2.0/2.0/0.0,화/7-8,일반,,3.8,직접호명,두 번,보통,많음,보통,좋음,풀강
교육행정 및 교육경영,4,곽연륜,교육학과,교직,영역없음,수정,2.0/2.0/0.0,수/7-8,일반,,3.72,직접호명,한 번,많음,보통,보통,보통,풀강 아님
교육과정,1,강지영,교육학과,교직,영역없음,수정,2.0/2.0/0.0,화/7-8,일반(블렌디드형),,4.5,모름,모름,모름,모름,모름,좋음,풀강 아님
교육과정,2,강지영,교육학과,교직,영역없음,운정,2.0/2.0/0.0,화/4-5,일반(블렌디드형),운정캠퍼스 개설 과목,4.5,모름,모름,모름,모름,모름,좋음,풀강 아님
교육평가,1,강태훈,교육학과,교직,영역없음,수정,2.0/2.0/0.0,월/4-5,일반(블렌디드형),,4.53,직접호명,두 번,없음,없음,보통,좋음,모름
교육평가,2,강태훈,교육학과,교직,영역없음,운정,2.0/2.0/0.0,월/7-8,일반(블렌디드형),운정캠퍼스 개설 과목,4.53,직접호명,두 번,없음,없음,보통,좋음,모름
교육사회,1,노경란,교육학과,교직,영역없음,수정,2.0/2.0/0.0,월/2-3,일반(블렌디드형),,4.55,직접호명,두 번,보통,보통,보통,좋음,풀강
교육사회,2,노경란,교육학과,교직,영역없음,수정,2.0/2.0/0.0,월/5-6,일반(블렌디드형),,4.55,직접호명,두 번,보통,보통,보통,좋음,풀강
교육사회,3,노경란,교육학과,교직,영역없음,수정,2.0/2.0/0.0,화/2-3,일반(블렌디드형),,4.55,직접호명,두 번,보통,보통,보통,좋음,풀강
교육사회,4,노경란,교육학과,교직,영역없음,수정,2.0/2.0/0.0,화/7-8,일반(블렌디드형),,4.55,직접호명,두 번,보통,보통,보통,좋음,풀강
교육철학 및 교육사,1,심형진,교육학과,교직,영역없음,수정,2.0/2.0/0.0,화/4-5,일반(블렌디드형),,3.93,전자출결,두 번,보통,보통,보통,보통,모름
교육철학 및 교육사,2,심형진,교육학과,교직,영역없음,수정,2.0/2.0/0.0,수/2-3,일반(블렌디드형),,3.93,전자출결,두 번,보통,보통,보통,보통,모름
교육철학 및 교육사,3,심형진,교육학과,교직,영역없음,수정,2.0/2.0/0.0,수/4-5,일반(블렌디드형),,3.93,전자출결,두 번,보통,보통,보통,보통,모름
교육철학 및 교육사,4,심형진,교육학과,교직,영역없음,수정,2.0/2.0/0.0,목/2-3,일반(블렌디드형),,3.93,전자출결,두 번,보통,보통,보통,보통,모름
특수교육학개론,1,신연서,교육학과,교직,영역없음,수정,2.0/2.0/0.0,금/2-3,일반,,3.02,전자출결,두 번,보통,없음,보통,보통,풀강 아님
특수교육학개론,2,신연서,교육학과,교직,영역없음,수정,2.0/2.0/0.0,금/4-5,일반,,3.02,전자출결,두 번,보통,없음,보통,보통,풀강 아님
특수교육학개론,3,한민정,교육학과,교직,영역없음,수정,2.0/2.0/0.0,금/5-6,일반,,4.16,직접호명,두 번,보통,없음,보통,좋음,풀강
특수교육학개론,4,한민정,교육학과,교직,영역없음,수정,2.0/2.0/0.0,금/7-8,일반,,4.16,직접호명,두 번,보통,없음,보통,좋음,풀강
교직실무,1,이성심,교육학과,교직,영역없음,수정,1.0/1.0/0.0,목/3,일반,,3.2,전자출결,한 번,보통,보통,보통,나쁨,모름
교직실무,2,권경숙,교육학과,교직,영역없음,수정,1.0/1.0/0.0,목/3,일반,,3.14,직접호명,두 번,없음,보통,보통,나쁨,모름
교직실무,3,이성심,교육학과,교직,영역없음,수정,1.0/1.0/0.0,목/4,일반,,3.2,전자출결,한 번,보통,보통,보통,나쁨,모름
교직실무,4,이성심,교육학과,교직,영역없음,수정,1.0/1.0/0.0,목/5,일반,,3.2,전자출결,한 번,보통,보통,보통,나쁨,모름
학교폭력 예방 및 학생의 이해,1,지은,교육학과,교직,영역없음,수정,2.0/1.0/1.0,금/5-6,일반,,3,직접호명,모름,많음,보통,보통,보통,풀강
학교폭력 예방 및 학생의 이해,2,지은,교육학과,교직,영역없음,운정,2.0/1.0/1.0,목/5-6,일반,운정캠퍼스 개설 과목,3,직접호명,모름,많음,보통,보통,보통,풀강
디지털 교육,1,신소영,교육학과,교직,영역없음,수정,1.0/1.0/0.0,목/2,일반,,2.58,직접호명,한 번,많음,보통,보통,나쁨,풀강
