과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,출결,시험,과제,조모임,성적,강의 시간,강의력,평점,전체 벡터
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[1, 0]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 1, 0, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
전공별 진로 탐색,이정은,인재개발팀,진로소양,도전과실천,"[0, 1]","[0, 0, 0]","[1, 0, 0, 0, 0]",0.4,0.5,0,"[1, 0, 0, 0]",0,0.5,0.5,"[0.4, 0.5, 0.0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0.5, 0, 0, 0, 0, 1, 1.0]"
