과목명,교수명,개설학과전공,이수구분,영역,수업유형,출결,시험,과제,조모임,성적,강의시간,강의력,평점,전체벡터,필수추천
의료법,김나경,법학부,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
형사소송법 1,이성기,법학부,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
형사소송법 1,김나경,법학부,심화전공,3영역,"[0, 0, 0]","[0, 1, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0.5,1,0.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 0.8]",
행정법각론,김찬희,법학부,심화전공,3영역,"[0, 0, 3]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.4,"[0, 0, 3, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.0, 1.0, 0.8]",
경제법,황태희,법학부,심화전공,3영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.0, 1.0, 1.0]",
사례로 이해하는 행정법,김찬희,법학부,심화전공,3영역,"[0, 0, 0]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 0, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
국제통상법 1,권현호,법학부,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.4,0,0,"[0, 0, 0, 1]",1,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.4, 0.0, 0.0, 0, 0, 0, 1, 1.0, 1.0, 1.0]",
채권법총론,박수영,법학부,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,1,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 1.0, 1.0]",
영사법무학1,이상진,법학부,심화전공,3영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
영사법무 사례연구,한동만,법학부,심화전공,3영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0.5,0,"[1, 0, 0, 0]",0.5,0.5,0.4,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.5, 0.0, 1, 0, 0, 0, 0.5, 0.5, 0.8]",
가족법,김세준,법학부,심화전공,4영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",1,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 1.0, 1.0, 1.0]",
사회보장법,문준혁,법학부,심화전공,4영역,"[0, 0, 3]","[0, 0, 1, 0, 0]",0.4,0.5,0.5,"[0, 0, 1, 0]",0.5,0.5,0.5,"[0, 0, 3, 0, 0, 1, 0, 0, 0.4, 0.5, 0.5, 0, 0, 1, 0, 0.5, 0.5, 1.0]",
형법연습,김나경,법학부,심화전공,4영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0.5,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.5, 1.0, 1.0]",
연구개발과 과학기술법,이재훈,법학부,심화전공,4영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0,"[0, 1, 0, 0]",0,0.5,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.0, 0, 1, 0, 0, 0.0, 0.5, 0.8]",
법률 상담 실무,이민경,법학부,심화전공,4영역,"[0, 0, 0]","[1, 0, 0, 0, 0]",0.6,0,0.5,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 0, 1, 0, 0, 0, 0, 0.6, 0.0, 0.5, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
특수범죄와 형벌,이명근,법학부,심화전공,4영역,"[0, 0, 3]","[0, 1, 0, 0, 0]",0.6,0,0,"[1, 0, 0, 0]",0.5,1,0.5,"[0, 0, 3, 0, 1, 0, 0, 0, 0.6, 0.0, 0.0, 1, 0, 0, 0, 0.5, 1.0, 1.0]",
