과목명,교수명,개설학과전공,이수구분,영역,캠퍼스,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,강의 시간,강의력,확인,시간표,파일명,전체 벡터
웹프로그래밍기초,이혜리,융합보안공학과,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년전공탐색] [GeM(SW문해)],1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",1,1.0,,화/4-6,공과대학_전공_data_1영역_일반.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1.0, 0, 0, 3, 1, 0, 1.0]"
웹프로그래밍기초,정선진,컴퓨터공학과,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년 전공탐색] [GeM(SW문해)],1.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,화/4-6,공과대학_전공_data_1영역_일반.csv,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 1.0]"
IT개론,정선진,컴퓨터공학과,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년전공탐색] [GeM(SW문해)],0.0,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 0, 0, 0]",0,1.0,,월/7-9,공과대학_전공_data_1영역_일반.csv,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 3, 1, 0, 0.0]"
IT개론,이재원,융합보안공학과,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년전공탐색] [GeM(SW문해)],0.8,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,월/7-9,공과대학_전공_data_1영역_일반.csv,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0, 0, 3, 1, 0, 0.8]"
IT개론,이재원,융합보안공학과,핵심전공,1영역,"[1, 0]","[0, 0, 3]",[1학년전공탐색] [GeM(SW문해)],0.8,"[0, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,목/7-9,공과대학_전공_data_1영역_일반.csv,"[0.6, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 0, 0, 3, 1, 0, 0.8]"
자료구조,홍의석,컴퓨터공학과,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,수/4-6,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 3, 0, 0, 1, 0, 1.0]"
자바프로그래밍,김규영,컴퓨터공학과,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,1.0,"[1, 0, 0, 0, 0]",0.6,1,1,"[0, 1, 0, 0]",0,1.0,,화/7-9,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 3, 0, 0, 1, 0, 1.0]"
자바프로그래밍,이규중,AI융합학부,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,1.0,,화/7-9,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1.0, 3, 0, 0, 1, 0, 0.8]"
고급C++프로그래밍,강종구,AI융합학부,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,월/4-6,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 3, 0, 0, 1, 0, 0.8]"
고급C++프로그래밍,강종구,정보시스템공학과,핵심전공,2영역,"[1, 0]","[3, 0, 0]",,0.8,"[0, 1, 0, 0, 0]",0.6,1,0,"[0, 1, 0, 0]",0,0.0,,월/4-6,공과대학_전공_data_2영역_블렌디드.csv,"[0.6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 3, 0, 0, 1, 0, 0.8]"
